Data Colação,Trabalhando?,O que está fazendo?,Área de Atuação,Área de atuação em TI,Mudou de trabalho por causa do curso?,Contato feito?,Empresa,Mudou de região?,Finalizado,Já trabalhava com TI no curso?
07/05/2021,Sim,,TI,Sistemas,Sim,,Plano de Saúde Santa Casa de Lorena,,Sim,
07/05/2021,Sim,,TI,Marketing Digital,Sim,,,,Sim,
11/09/2021,Sim,,TI,Dev,Sim,,Lyra,,Sim,
18/03/2022,,,,,,Aguardando,,,,
18/03/2022,,,,,,,,,,
18/03/2022,,,,,,,,,,
18/03/2022,Sim,,TI,Dev,Sim,,FATECOINS,,Sim,
18/03/2022,,,,,,,,,,
18/03/2022,,,,,,,,,,
18/03/2022,,,,,,,,,,
18/03/2022,,,,,,,,,,
18/03/2022,Sim,,TI,Dev,Sim,,,,Sim,
18/03/2022,,,,,,,,,,
18/03/2022,Sim,,TI,Dev,Sim,,,,Sim,
18/03/2022,,,,,,,,,,
18/03/2022,,,,,,,,,,
18/03/2022,Sim,,TI,Dev,Sim,,,,Sim,
18/03/2022,Sim,,TI,Gestão de projetos,Sim,,FATECOINS,,Sim,
18/03/2022,Sim,,TI,Dev,Sim,,SMT,,Sim,
18/03/2022,,,,,,,,,,
18/03/2022,Sim,,TI,Dev,Sim,,FATECOINS,,Sim,
18/03/2022,Sim,,TI,Dev,Sim,,FATECOINS,,Sim,
18/03/2022,,,,,,,,,,
18/03/2022,Sim,,Administração,,Sim,Sim,Santuário Nacional de Aparecida,,Sim,
18/03/2022,,,,,,,,,,
18/03/2022,Sim,,TI,Infraestrutura,Sim,,,,Sim,
2/7/2022,Sim,,TI,Dados,Sim,,,,Sim,Não
2/7/2022,,,,,,,,,,
2/7/2022,,,,,,,,,,
2/7/2022,Sim,,TI,Dev,Sim,,,,Sim,
2/7/2022,,,,,,,,,,
2/7/2022,,,,,,,,,,
2/7/2022,,,,,,,,,,
2/7/2022,Sim,,TI,Sistemas,Sim,Sim,NTT Data Business,,Sim,
2/7/2022,,,,,,,,,,
2/7/2022,Sim,,TI,Dev,Sim,,Santuário Nacional,,Sim,
2/7/2022,Sim,,TI,Gestão de projetos,Sim,,Valfilm,,Sim,
2/7/2022,Não,Procurando,,,,,,,Sim,
2/7/2022,Sim,Administração,,,,,,,Sim,
2/7/2022,Sim,,TI,Dev,Sim,,SMT,,Sim,
2/7/2022,Sim,,TI,Suporte,Sim,,FATECOINS,,Sim,
2/7/2022,Sim,,TI,UI/UX,Sim,Sim,CDT Software,,Sim,
2/7/2022,Não,Procurando,,,,,,,Sim,
2/7/2022,Sim,,TI,Designer,Não,Sim,CDG Beer,,Sim,
2/7/2022,Sim,,TI,Infraestrutura,Sim,Sim,Santuário Nacional de Aparecida,,Sim,
2/7/2022,Sim,,TI,Dev,Não,Sim,Termosinter,,Sim,
2/7/2022,Sim,,TI,Dev,Sim,Sim,Líax,,Sim,
2/7/2022,Sim,,TI,Dev,Sim,Sim,Amex,,Sim,
2/7/2022,Sim,,TI,Suporte,Sim,Sim,Editora Santuário,,Sim,
2/7/2022,Sim,,TI,Dev,Sim,,FATECOINS,,Sim,
2/7/2022,,,,,,,,,,
2/7/2022,,,,,,,,,,
2/7/2022,,,,,,,,,,
2/7/2022,,,,,,,,,,
2/7/2022,Sim,,TI,Gestão de Projetos,Sim,Sim,Nutrien Soluções Agrícolas,,Sim,
2/7/2022,Sim,,TI,Dev,Sim,,AMEX,,Sim,
21/12/2022,Sim,,TI,Sistemas,Sim,Sim,CECAL,,Sim,
21/12/2022,,,,,,,,,,
21/12/2022,Sim,,TI,Dev,Sim,,FATECOINS,,Sim,
21/12/2022,,,,,,,,,,
21/12/2022,,,,,,,,,,
21/12/2022,Sim,,TI,Suporte,Sim,Sim,,,Sim,
21/12/2022,,,,,,,,,,
21/12/2022,Sim,,TI,Dev,Sim,Sim,Orion Sites,,Sim,
21/12/2022,,,,,,,,,,
21/12/2022,,,,,,,,,,
21/12/2022,,,,,,,,,,
21/12/2022,,,,,,,,,,
21/12/2022,,,,,,,,,,
21/12/2022,,,,,,,,,,
21/12/2022,,,,,,,,,,
21/12/2022,,,,,,,,,,
21/12/2022,,,,,,,,,,
21/12/2022,,,,,,,,,,
21/12/2022,,,,,,,,,,
21/12/2022,,,,,,,,,,
